manifest	individual	sample_id	age	group
fohif	YX1L	GSM3722100	2-3m	Young
mopuh	YX2L	GSM3722101	2-3m	Young
vutil	YX3R	GSM3722102	2-3m	Young
faloh	YX4R	GSM3722103	2-3m	Young
fuzav	YX5R	GSM3722104	2-3m	Young
fidos	YX6L	GSM3722105	2-3m	Young
gosun	YX7R	GSM3722106	2-3m	Young
rasub	YX8L	GSM3722107	2-3m	Young
malup	OX1X	GSM3722108	21-22m	Old
dofot	OX2X	GSM3722109	21-22m	Old
hozup	OX3X	GSM3722110	21-22m	Old
karan	OX4X	GSM3722111	21-22m	Old
johiz	OX5X	GSM3722112	21-22m	Old
bogim	OX6X	GSM3722113	21-22m	Old
gavad	OX7X	GSM3722114	21-22m	Old
hivin	OX8X	GSM3722115	21-22m	Old
